segment_id,start_date,end_date,rows,time_weight_days,segment_mae,beta,alpha,pi0,lambda
1,2016-05-12,2016-09-30,9,141,51.88494361187239,2582.161116432772,1.0191490706066322,2582.161116432773,0.0
2,2016-11-02,2017-07-07,15,247,46.814973197765966,2106.6435678962594,1.4641347099366206,2106.643567896258,0.0
3,2017-08-05,2018-01-27,8,175,45.470933677866356,2345.2646106482193,1.3003824005285196,2345.264610648219,0.0
4,2018-02-10,2018-06-09,8,119,65.88378979366234,1926.9064567820985,1.580497230023345,1926.906456782099,0.0
5,2018-06-26,2018-10-01,8,97,107.51159709317494,2251.5448638668217,1.3610126834376053,2251.5448638668213,0.0
6,2018-10-20,2019-01-29,8,101,90.14285557239111,2051.0192137962727,1.5659410711245587,2051.019213796273,0.0
7,2019-02-15,2019-06-12,8,117,72.03076750498894,3148.1506423573105,0.77330719847659,3148.1506423573105,0.0
8,2019-06-26,2019-11-05,8,132,64.51908466612099,3383.55778063451,0.5243618225527513,3383.5577806345104,0.0
9,2019-11-19,2020-07-24,8,248,67.17022370447819,2017.440344324379,1.4323479841296272,2017.440344324379,0.0
10,2020-09-04,2021-01-16,8,134,45.16217311785317,2221.6811827299816,1.2360827018504303,2221.6811827299816,0.0
11,2021-01-30,2021-05-28,8,118,52.144671752619615,2153.1270832819796,1.3225210258519988,2153.1270832819787,0.0
13,2022-04-29,2022-08-10,8,103,129.68442981311887,702.771458734839,1.7757287878301462,1827.2050699066929,0.0
14,2022-08-24,2022-12-20,8,118,119.67908785693021,-11091.58167683129,3.3366913701712297,7356.360643589891,0.0
15,2023-01-04,2023-05-17,8,133,47.25729219510299,2567.721636887075,1.3469918161779197,1705.2067587554582,0.0
16,2023-05-31,2024-08-22,28,449,54.044145749385606,4280.906133426174,1.2282934889986645,372.43099447852944,0.0
17,2024-09-21,2025-03-06,8,166,100.45464345723667,3073.1699679642297,0.8412872145745125,3073.169967964229,0.0
18,2025-03-20,2026-03-10,19,355,52.91896118322419,-239.55148393557934,1.2036532515322205,4936.545774044886,0.0
