segment_id,start_date,end_date,rows,time_weight_days,segment_mae,beta,alpha,pi0,lambda
1,2016-05-12,2016-09-30,9,141,53.27522678937698,1820.751832,0.9937419198855785,3382.507640174757,0.0
2,2016-11-02,2017-07-07,15,247,47.27446031867609,1820.751832,1.45980944715437,2396.4777026711895,0.0
3,2017-08-05,2018-01-27,8,175,49.515212975207646,1820.751832,1.3058650329107164,2857.6993374291396,0.0
4,2018-02-10,2018-06-09,8,119,73.53288140827067,1820.751832,1.5901183809375476,2005.857670442798,0.0
5,2018-06-26,2018-10-01,8,97,115.00242189942128,1820.751832,1.3280365358574724,2812.311421211599,0.0
6,2018-10-20,2019-01-29,8,101,93.24399125687125,1820.751832,1.5670512328651205,2314.8378560630044,0.0
7,2019-02-15,2019-06-12,8,117,73.45605917328248,1820.751832,0.7611285609598066,4531.415230880094,0.0
8,2019-06-26,2019-11-05,8,132,66.21165940170636,1820.751832,0.5085241229147008,5003.292962386646,0.0
9,2019-11-19,2020-07-24,8,248,68.86373989058302,1820.751832,1.4495526657093225,2190.1131131900847,0.0
10,2020-09-04,2021-01-16,8,134,45.86457159873021,1820.751832,1.239953846691307,2619.574160462549,0.0
11,2021-01-30,2021-05-28,8,118,53.40384073840369,1820.751832,1.3132129561969659,2515.9818923255807,0.0
12,2021-06-29,2022-04-16,19,291,137.16704857116795,1820.751832,1.599269806540981,1512.3595792379967,0.0
13,2022-04-29,2022-08-10,8,103,126.3229642928161,1820.751832,1.598627296179915,1444.8378994778225,0.0
14,2022-08-24,2022-12-20,8,118,143.01275740813503,1820.751832,1.4939828751827096,1916.6941006307725,0.0
15,2023-01-04,2023-05-17,8,133,51.301354239499915,1820.751832,1.3982834065833492,2267.6683982034037,0.0
16,2023-05-31,2024-08-22,28,449,64.62959941214409,1820.751832,1.5052066633373402,1735.9157831097682,0.0
17,2024-09-21,2025-03-06,8,166,103.96499026294464,1820.751832,0.7971941886054668,4502.560259022523,0.0
18,2025-03-20,2026-03-10,19,355,72.1425587288237,1820.751832,1.0781129644461254,3311.368415625411,0.0
