segment_id,start_date,end_date,rows,time_weight_days,segment_mae,beta,alpha,pi0,lambda
1,2016-05-12,2016-09-30,9,141,56.67410815946177,2772.339564633943,0.9361249493805777,2533.074724,0.0
2,2016-11-02,2017-07-07,15,247,48.331764557968924,1698.7728839769325,1.4519035169092165,2533.074724,0.0
3,2017-08-05,2018-01-27,8,175,60.32807855285989,2127.1731621926565,1.3216047573082519,2533.074724,0.0
4,2018-02-10,2018-06-09,8,119,91.7515833926318,1231.9253288575942,1.6193086348249814,2533.074724,0.0
5,2018-06-26,2018-10-01,8,97,133.47988811729533,2483.9831212727872,1.2310392447922578,2533.074724,0.0
6,2018-10-20,2019-01-29,8,101,98.28380920463883,1664.7778085208427,1.5804617890421073,2533.074724,0.0
7,2019-02-15,2019-06-12,8,117,76.72294163576657,3956.66448197848,0.7322029995544928,2533.074724,0.0
8,2019-06-26,2019-11-05,8,132,69.80317147037067,4470.540713493894,0.45576603624326345,2533.074724,0.0
9,2019-11-19,2020-07-24,8,248,72.45419679742281,1409.9584990447513,1.4979579235015223,2533.074724,0.0
10,2020-09-04,2021-01-16,8,134,48.06889898054544,1875.808113682193,1.2615324132125871,2533.074724,0.0
11,2021-01-30,2021-05-28,8,118,54.66578216581627,1851.597848958199,1.3025597637266602,2533.074724,0.0
12,2021-06-29,2022-04-16,19,291,194.1873765741495,-120.08298241826351,1.8773747221583497,2533.074724,0.0
13,2022-04-29,2022-08-10,8,103,126.63754886933725,-730.9235709295855,1.9958984200856258,2533.074724,0.0
14,2022-08-24,2022-12-20,8,118,139.48418392612484,277.6795749585866,1.73179905489844,2533.074724,0.0
15,2023-01-04,2023-05-17,8,133,54.610134930832146,1785.1404893040087,1.3499189507338853,2533.074724,0.0
16,2023-05-31,2024-08-22,28,449,84.84133358075165,1025.3508848068968,1.5233287729518725,2533.074724,0.0
17,2024-09-21,2025-03-06,8,166,112.38332679149516,4130.65049063569,0.7135836397246733,2533.074724,0.0
18,2025-03-20,2026-03-10,19,355,89.0246426681761,2787.2958766905044,1.031012328707784,2533.074724,0.0
