w_wti,w_brent,w_basket,beta,alpha,pi0,lambda,lambda_factor,price_mae,price_rmse,change_mae,segments_used,rows_used
0.66,0.06,0.27999999999999997,1820.751832,1.3025653172203355,2624.8426859104984,0.0,0.0,210.47869469719424,332.92733789130625,210.47869469719424,18,194
0.68,0.04,0.27999999999999997,1820.751832,1.3026127598726547,2631.291502592156,0.0,0.0,210.48310656651333,332.97041558603365,210.48310656651333,18,194
0.64,0.08,0.27999999999999997,1820.751832,1.302434122120188,2618.682122881888,0.0,0.0,210.48490614602528,332.9760316307345,210.48490614602528,18,194
0.66,0.08,0.25999999999999995,1820.751832,1.301248982141457,2628.155701224547,0.0,0.0,210.48924981593706,333.88223553248775,210.48924981593706,18,194
0.66,0.04,0.3,1820.751832,1.3038529044429958,2621.6365925748364,0.0,0.0,210.49305449155253,332.0109899493549,210.49305449155253,18,194
0.68,0.06,0.25999999999999995,1820.751832,1.301303822858253,2634.569652949731,0.0,0.0,210.49363900167185,333.9150545134272,210.49363900167185,18,194
0.64,0.1,0.26,1820.751832,1.3011107224770044,2622.029066898494,0.0,0.0,210.49585650472642,333.9413243222999,210.49585650472642,18,194
0.64,0.06,0.3,1820.751832,1.303728980306771,2615.441609144497,0.0,0.0,210.4969266406523,332.0493442988053,210.4969266406523,18,194
0.68,0.02,0.29999999999999993,1820.751832,1.3038927475053077,2628.120743917121,0.0,0.0,210.49980470883526,332.06425847832423,210.49980470883526,18,194
0.62,0.1,0.28,1820.751832,1.3022215963645196,2612.8031602132555,0.0,0.0,210.5016743284567,333.11566494160326,210.5016743284567,18,194
0.62,0.08,0.3,1820.751832,1.303523386327281,2609.529187281985,0.0,0.0,210.5113583014079,332.1785119110925,210.5113583014079,18,194
0.66,0.02,0.31999999999999995,1820.751832,1.3051117272674235,2618.5373120187146,0.0,0.0,210.51235529623472,331.13291658151553,210.51235529623472,18,194
0.64,0.04,0.32,1820.751832,1.304995280084243,2612.3074194715596,0.0,0.0,210.51390093445605,331.1609909453625,210.51390093445605,18,194
0.62,0.12,0.26,1820.751832,1.3008862521525422,2616.2160725704935,0.0,0.0,210.5181678309013,334.0939007840087,210.5181678309013,18,194
0.62,0.06,0.32,1820.751832,1.304796827677969,2606.3610311776997,0.0,0.0,210.52600781795806,331.27974066917926,210.52600781795806,18,194
0.64,0.02,0.33999999999999997,1820.751832,1.3062330005755554,2609.2794628739985,0.0,0.0,210.5358082784043,330.31069512686906,210.5358082784043,18,194
0.7000000000000001,0.02,0.2799999999999999,1820.751832,1.3025748187268873,2638.0333976348475,0.0,0.0,210.53648977190127,333.10520416672296,210.53648977190127,18,194
0.68,0.0,0.31999999999999995,1820.751832,1.3051437697242996,2625.0572644554136,0.0,0.0,210.5372967046519,331.1963044889759,210.5372967046519,18,194
0.66,0.1,0.23999999999999996,1820.751832,1.2999039116095312,2631.57576357641,0.0,0.0,210.53989825638908,334.87595319501264,210.53989825638908,18,194
0.66,0.0,0.33999999999999997,1820.751832,1.306341765299401,2615.5447500630535,0.0,0.0,210.54286755910897,330.29283760793186,210.54286755910897,18,194
0.6,0.1,0.30000000000000004,1820.751832,1.3032117146527913,2604.0492916579306,0.0,0.0,210.54420375543805,332.4048181226405,210.54420375543805,18,194
0.62,0.04,0.34,1820.751832,1.3060418991497893,2603.2986038262966,0.0,0.0,210.54560227600274,330.4190786642192,210.54560227600274,18,194
0.64,0.12,0.24,1820.751832,1.2997587941223474,2625.4825634543054,0.0,0.0,210.54955981261227,334.94548895497763,210.54955981261227,18,194
0.6,0.12,0.28,1820.751832,1.3018762910321504,2607.4982163664517,0.0,0.0,210.5522983384015,333.35566734231446,210.5522983384015,18,194
0.6,0.08,0.32,1820.751832,1.304508814338002,2600.7552742312964,0.0,0.0,210.5573569953023,331.49257142143614,210.5573569953023,18,194
0.7000000000000001,0.0,0.29999999999999993,1820.751832,1.3038494916300147,2634.8937423563852,0.0,0.0,210.5597553681676,332.2060920275583,210.5597553681676,18,194
0.6,0.06,0.34,1820.751832,1.3057680067488247,2597.61402269165,0.0,0.0,210.56841452611985,330.6183274069769,210.56841452611985,18,194
0.62,0.02,0.36,1820.751832,1.3072585757979254,2600.3418316131865,0.0,0.0,210.57748713280276,329.5962480244222,210.57748713280276,18,194
0.64,0.0,0.36,1820.751832,1.3074421172912862,2606.3576626325726,0.0,0.0,210.5832117458318,329.49817509133334,210.5832117458318,18,194
0.68,0.08,0.23999999999999994,1820.751832,1.2999659484342314,2637.9553230974316,0.0,0.0,210.5874736550849,334.8984491626135,210.5874736550849,18,194
0.6,0.04,0.36000000000000004,1820.751832,1.3069948463497023,2594.604451996406,0.0,0.0,210.58809906508674,329.78382704519913,210.58809906508674,18,194
0.6,0.14,0.26,1820.751832,1.300512486532678,2611.053484622831,0.0,0.0,210.58858103608253,334.3458255173065,210.58858103608253,18,194
0.62,0.14,0.24,1820.751832,1.2995036966933715,2619.829797484261,0.0,0.0,210.5905166993047,335.1121991740441,210.5905166993047,18,194
0.7000000000000001,0.04,0.25999999999999995,1820.751832,1.3012729219402424,2641.2771633145057,0.0,0.0,210.60006397522315,334.040508703269,210.60006397522315,18,194
0.58,0.08,0.34,1820.751832,1.3053716104578934,2592.456523427889,0.0,0.0,210.61862687899634,330.9145260153755,210.61862687899634,18,194
0.64,0.14,0.21999999999999997,1820.751832,1.2983783453438662,2629.0427515246165,0.0,0.0,210.62364844963597,335.9887875860873,210.62364844963597,18,194
0.58,0.1,0.32000000000000006,1820.751832,1.3040864922787458,2595.7245197363845,0.0,0.0,210.62464181931085,331.7989892593899,210.62464181931085,18,194
0.62,0.0,0.38,1820.751832,1.3084468293333844,2597.4906543271395,0.0,0.0,210.63436025862165,328.8109653210532,210.63436025862165,18,194
0.6,0.02,0.38,1820.751832,1.3081905340073785,2591.7187377150567,0.0,0.0,210.6367855902579,328.9881440470199,210.6367855902579,18,194
0.66,0.12,0.21999999999999997,1820.751832,1.2985301136352874,2635.103014576291,0.0,0.0,210.63681223096614,335.9087566625699,210.63681223096614,18,194
0.58,0.12,0.30000000000000004,1820.751832,1.3027731641840006,2599.0981569545925,0.0,0.0,210.63749465982877,332.72224480356556,210.63749465982877,18,194
0.58,0.06,0.36000000000000004,1820.751832,1.306628486302649,2589.294128346531,0.0,0.0,210.6453225474512,330.06857222477714,210.6453225474512,18,194
0.58,0.14,0.28,1820.751832,1.3014316548438998,2602.5774901309196,0.0,0.0,210.65568897291698,333.6845694939099,210.65568897291698,18,194
