date,weighted_oil_mean,filtered_oil_price,exchange_rate,previous_actual,theory_price,delta_p_theory,carry_before,stacked_change,delta_p_rule,carry_after,actual_change,actual_after,is_changed,is_special_regulated,rule_error,abs_rule_error
2016-01-27,26.603892000000002,40.0,6.5773,6925.0,6745.5729552,-179.42704479999975,0.0,-179.42704479999975,-179.42704479999975,0.0,0,6925,False,True,-179.42704479999975,179.42704479999975
2016-02-15,28.44518,40.0,6.571,6925.0,6743.134704,-181.86529599999994,0.0,-181.86529599999994,-181.86529599999994,0.0,0,6925,False,True,-181.86529599999994,181.86529599999994
2016-02-29,31.115500000000004,40.0,6.5525,6925.0,6735.974760000001,-189.02523999999903,0.0,-189.02523999999903,-189.02523999999903,0.0,0,6925,False,True,-189.02523999999903,189.02523999999903
2016-03-14,36.716586,40.0,6.4984,6925.0,6715.0367616,-209.96323839999968,0.0,-209.96323839999968,-209.96323839999968,0.0,0,6925,False,True,-209.96323839999968,209.96323839999968
2016-03-28,37.330780000000004,40.0,6.5051,6925.0,6717.6298224,-207.3701775999998,0.0,-207.3701775999998,-207.3701775999998,0.0,0,6925,False,True,-207.3701775999998,207.3701775999998
2016-04-12,36.79028400000001,40.0,6.4639,6925.0,6701.6844335999995,-223.31556640000053,0.0,-223.31556640000053,-223.31556640000053,0.0,0,6925,False,True,-223.31556640000053,223.31556640000053
2016-04-27,40.9825,40.9825,6.494,6925.0,6775.067618838,-149.93238116199973,0.0,-149.93238116199973,-149.93238116199973,0.0,165,7090,True,False,-314.93238116199973,314.93238116199973
2016-05-12,42.61478400000001,42.61478400000001,6.514,7090.0,6885.875956914586,-204.1240430854141,0.0,-204.1240430854141,-204.1240430854141,0.0,120,7210,True,False,-324.1240430854141,324.1240430854141
2016-05-26,46.36170800000001,46.36170800000001,6.554,7210.0,7139.975898975141,-70.02410102485919,0.0,-70.02410102485919,-70.02410102485919,0.0,210,7420,True,False,-280.0241010248592,280.0241010248592
2016-06-09,47.786208,47.786208,6.559,7420.0,7232.620775624564,-187.37922437543602,0.0,-187.37922437543602,-187.37922437543602,0.0,110,7530,True,False,-297.379224375436,297.379224375436
2016-06-23,46.600852,46.600852,6.574,7530.0,7164.158772540029,-365.8412274599714,0.0,-365.8412274599714,-365.8412274599714,0.0,0,7530,False,False,-365.8412274599714,365.8412274599714
2016-07-07,46.061548,46.061548,6.679,7530.0,7176.650727262555,-353.34927273744506,0.0,-353.34927273744506,-353.34927273744506,0.0,0,7530,False,False,-353.34927273744506,353.34927273744506
2016-07-22,43.940608,43.940608,6.676,7530.0,7038.313061401805,-491.6869385981954,0.0,-491.6869385981954,-491.6869385981954,0.0,-155,7375,True,False,-336.6869385981954,336.6869385981954
2016-08-05,40.1935,40.1935,6.653,7375.0,6787.3266088758,-587.6733911242,0.0,-587.6733911242,-587.6733911242,0.0,-220,7155,True,False,-367.67339112419995,367.67339112419995
2016-08-19,45.120514,45.120514,6.6515,7155.0,7103.832353036248,-51.167646963752304,0.0,-51.167646963752304,-51.167646963752304,0.0,175,7330,True,False,-226.1676469637523,226.1676469637523
2016-09-02,45.693458,45.693458,6.679,7330.0,7152.863524839439,-177.13647516056062,0.0,-177.13647516056062,-177.13647516056062,0.0,205,7535,True,False,-382.1364751605606,382.1364751605606
2016-09-19,43.996978000000006,43.996978000000006,6.665,7535.0,7037.271573644773,-497.7284263552274,0.0,-497.7284263552274,-497.7284263552274,0.0,-155,7380,True,False,-342.7284263552274,342.7284263552274
2016-09-30,44.650498,44.650498,6.6685,7380.0,7080.9277603158225,-299.0722396841775,0.0,-299.0722396841775,-299.0722396841775,0.0,0,7380,False,False,-299.0722396841775,299.0722396841775
2016-10-20,49.243894000000004,49.243894000000004,6.7439,7380.0,7413.227058561404,33.22705856140419,0.0,33.22705856140419,0.0,33.22705856140419,355,7735,True,False,-355.0,355.0
2016-11-02,46.995648,46.995648,6.7606,7735.0,7274.119807147362,-460.8801928526382,33.22705856140419,-427.653134291234,-427.653134291234,0.0,0,7735,False,False,-427.653134291234,427.653134291234
2016-11-17,42.911052,42.911052,6.8674,7735.0,7051.277005949043,-683.7229940509569,0.0,-683.7229940509569,-683.7229940509569,0.0,-365,7370,True,False,-318.7229940509569,318.7229940509569
2016-12-01,46.244276,46.244276,6.883,7370.0,7279.737207385924,-90.2627926140758,0.0,-90.2627926140758,-90.2627926140758,0.0,175,7545,True,False,-265.2627926140758,265.2627926140758
2016-12-15,51.733942,51.733942,6.941,7545.0,7674.365645682703,129.36564568270296,0.0,129.36564568270296,129.36564568270296,0.0,435,7980,True,False,-305.63435431729704,305.63435431729704
2016-12-29,53.052846,53.052846,6.9535,7980.0,7769.357524873972,-210.64247512602833,0.0,-210.64247512602833,-210.64247512602833,0.0,100,8080,True,False,-310.64247512602833,310.64247512602833
2017-01-13,53.1441,53.1441,6.8985,8080.0,7747.21597074306,-332.7840292569399,0.0,-332.7840292569399,-332.7840292569399,0.0,70,8150,True,False,-402.7840292569399,402.7840292569399
2017-01-26,53.011048,53.011048,6.8768,8150.0,7727.2049048508525,-422.7950951491475,0.0,-422.7950951491475,-422.7950951491475,0.0,-70,8080,True,False,-352.7950951491475,352.7950951491475
2017-02-15,53.54616,53.54616,6.8685,8080.0,7758.509583692976,-321.49041630702413,0.0,-321.49041630702413,-321.49041630702413,0.0,50,8130,True,False,-371.49041630702413,371.49041630702413
2017-02-28,54.16275,54.16275,6.8665,8130.0,7798.43810392935,-331.5618960706497,0.0,-331.5618960706497,-331.5618960706497,0.0,0,8130,False,False,-331.5618960706497,331.5618960706497
2017-03-15,51.004404,51.004404,6.9132,8130.0,7611.651834652279,-518.3481653477211,0.0,-518.3481653477211,-518.3481653477211,0.0,-85,8045,True,False,-433.3481653477211,433.3481653477211
2017-03-29,49.154184,49.154184,6.8879,8045.0,7475.859222406965,-569.1407775930347,0.0,-569.1407775930347,-569.1407775930347,0.0,-230,7815,True,False,-339.1407775930347,339.1407775930347
2017-04-13,53.124042,53.124042,6.8865,7815.0,7739.709073108415,-75.2909268915846,0.0,-75.2909268915846,-75.2909268915846,0.0,200,8015,True,False,-275.2909268915846,275.2909268915846
