date,filtered_oil_price,delta_p_theory,carry_before,delta_p_rule,actual_change,theta_t,rule_error
2016-01-27,40.0,-225.1498960000008,0.0,-225.1498960000008,0,-0.0,-225.1498960000008
2016-02-15,40.0,-227.73592000000008,0.0,-227.73592000000008,0,-0.0,-227.73592000000008
2016-02-29,40.0,-235.32979999999952,0.0,-235.32979999999952,0,-0.0,-235.32979999999952
2016-03-14,40.0,-257.53676799999994,0.0,-257.53676799999994,0,-0.0,-257.53676799999994
2016-03-28,40.0,-254.78655199999957,0.0,-254.78655199999957,0,-0.0,-254.78655199999957
2016-04-12,40.0,-271.6983280000004,0.0,-271.6983280000004,0,-0.0,-271.6983280000004
2018-05-01,70.11758,-323.47111775830126,0.0,-323.47111775830126,-75,0.23185995868737888,-248.47111775830126
2019-04-01,64.21548,-353.1173979992491,0.0,-353.1173979992491,-225,0.637181858709999,-128.11739799924908
2020-03-31,40.0,51.52678399999968,0.0,51.52678399999968,0,0.0,51.52678399999968
2020-04-15,40.0,45.61587200000031,0.0,0.0,0,,0.0
2020-04-28,40.0,50.21324800000002,45.61587200000031,95.82912000000033,0,0.0,95.82912000000033
2020-05-14,40.0,56.739880000000085,0.0,56.739880000000085,0,0.0,56.739880000000085
2020-05-28,40.0,77.75645599999916,0.0,77.75645599999916,0,0.0,77.75645599999916
2020-06-11,40.0,44.6307199999992,0.0,0.0,0,,0.0
2026-03-24,117.67143,2209.4103385937888,0.0,2209.4103385937888,1160,0.5250269629580437,1049.4103385937888
2026-04-08,114.56184,805.0597385236961,0.0,805.0597385236961,420,0.5217004153880411,385.05973852369607
2026-04-22,100.10225,-398.0914759387506,0.0,-398.0914759387506,-555,1.3941519312646398,156.9085240612494
2026-05-09,112.08568,773.7223191120793,0.0,773.7223191120793,320,0.413585070632615,453.7223191120793
