scope,parameter,value
upward,intercept,0.893319718496
upward,beta_fd_log,-0.0406656108272
upward,beta_fg_hinge,0.0282566081518
upward,beta_s_d,0.0182799769857
upward,beta_prev_u_d,0.00787431396476
upward,beta_cpi_low,-0.020523704782
upward,beta_cpi_high,0.031976841653
upward,fd_threshold,40.0
upward,fg_threshold,0.0
upward,cpi_low,0.02
upward,cpi_high,0.03
upward,fd_log_center,4.80599736939
upward,fg_hinge_center,1.67832628657
upward,S_d_center,18.3988140967
upward,prev_u_d_center,0.0
upward,cpi_low_gap_center,0.2
upward,cpi_high_gap_center,0.0
downward,intercept,1.19739540279
downward,beta_abs_fd_log,0.2541631287
downward,beta_s_d,-0.0668703378625
downward,beta_prev_u_d,-0.0161246829237
downward,fd_abs_threshold,0.0
downward,abs_fd_log_center,5.25069001022
downward,S_d_center,18.3988140967
downward,prev_u_d_center,0.0
initial,metric_n,175.0
initial,metric_mae,0.025329934913385196
initial,metric_rmse,0.04179577288794247
initial,metric_r2,0.7416314932910234
refit,metric_n,175.0
refit,metric_mae,0.025329934913385196
refit,metric_rmse,0.04179577288794247
refit,metric_r2,0.7416314932910234
