variable,x_value,alpha_target,alpha_fitted
f_diesel,-391.4387644885913,1.0,1.0
f_diesel,-382.3016147813076,1.0,1.0
f_diesel,-373.1644650740239,1.0,1.0
f_diesel,-364.0273153667402,1.0,1.0
f_diesel,-354.8901656594565,1.0,1.0
f_diesel,-345.7530159521728,1.0,1.0
f_diesel,-336.6158662448891,1.0,1.0
f_diesel,-327.47871653760546,1.0,1.0
f_diesel,-318.34156683032177,1.0,1.0
f_diesel,-309.20441712303807,1.0,1.0
f_diesel,-300.0672674157544,1.0,1.0
f_diesel,-290.9301177084707,1.0,1.0
f_diesel,-281.792968001187,0.99,1.0
f_diesel,-272.6558182939033,0.99,1.0
f_diesel,-263.5186685866196,0.99,1.0
f_diesel,-254.38151887933589,0.99,1.0
f_diesel,-245.2443691720522,0.99,1.0
f_diesel,-236.1072194647685,0.99,1.0
f_diesel,-226.9700697574848,0.99,1.0
f_diesel,-217.8329200502011,0.99,0.9980015294948078
f_diesel,-208.6957703429174,0.99,0.9942436112593064
f_diesel,-199.55862063563373,0.99,0.9903182467774351
f_diesel,-190.42147092835003,0.98,0.986209815080358
f_diesel,-181.28432122106636,0.98,0.98190040188513
f_diesel,-172.14717151378264,0.98,0.9773693274837839
f_diesel,-163.01002180649894,0.98,0.9725925465210001
f_diesel,-153.87287209921524,0.98,0.9675418755373465
f_diesel,-144.73572239193155,0.97,0.9621839853404442
f_diesel,-135.59857268464788,0.97,0.9564790666846861
f_diesel,-126.46142297736418,0.97,0.9503790332889861
f_diesel,-117.32427327008048,0.96,0.9438250552447509
f_diesel,-108.18712356279678,0.96,0.9367440991090347
f_diesel,-99.04997385551307,0.95,0.9290439522860466
f_diesel,-89.91282414822939,0.95,0.9206058577157653
f_diesel,-80.77567444094569,0.94,0.9112732338339098
f_diesel,-71.638524733662,0.93,0.9008336827136141
f_diesel,-62.5013750263783,0.92,0.8889888385487702
f_diesel,-53.3642253190946,0.9,0.8753006308671298
f_diesel,-44.2270756118109,0.88,0.8590876447820406
f_diesel,-35.089925904527206,0.84,0.8392029973311339
f_diesel,-25.95277619724351,0.78,0.8134815373841576
f_diesel,-16.815626489959868,0.65,0.7770034672631547
f_diesel,-7.678476782676171,0.21,0.7136327792560311
S_diesel_lag,0.2681327931275753,1.0,1.0
S_diesel_lag,0.9138478645691102,1.0,1.0
S_diesel_lag,1.559562936010645,1.0,1.0
S_diesel_lag,2.20527800745218,1.0,1.0
S_diesel_lag,2.8509930788937146,1.0,1.0
S_diesel_lag,3.496708150335249,1.0,1.0
S_diesel_lag,4.1424232217767845,1.0,1.0
S_diesel_lag,4.78813829321832,1.0,1.0
S_diesel_lag,5.433853364659854,1.0,1.0
S_diesel_lag,6.079568436101389,1.0,1.0
S_diesel_lag,6.725283507542924,1.0,1.0
S_diesel_lag,7.370998578984459,1.0,1.0
S_diesel_lag,8.016713650425993,1.0,1.0
S_diesel_lag,8.662428721867528,1.0,1.0
S_diesel_lag,9.308143793309064,1.0,1.0
S_diesel_lag,9.9538588647506,1.0,1.0
S_diesel_lag,10.599573936192131,1.0,1.0
S_diesel_lag,11.245289007633668,1.0,0.9991142837362129
S_diesel_lag,11.891004079075202,1.0,0.9979193341961038
S_diesel_lag,12.536719150516738,0.99,0.9967243846559947
S_diesel_lag,13.182434221958273,0.99,0.9955294351158855
S_diesel_lag,13.828149293399807,0.99,0.9943344855757764
S_diesel_lag,14.473864364841342,0.99,0.9931395360356673
S_diesel_lag,15.119579436282876,0.99,0.9919445864955582
S_diesel_lag,15.76529450772441,0.99,0.990749636955449
S_diesel_lag,16.411009579165945,0.99,0.9895546874153399
S_diesel_lag,17.056724650607478,0.99,0.9883597378752308
S_diesel_lag,17.702439722049014,0.98,0.9871647883351217
S_diesel_lag,18.34815479349055,0.98,0.9859698387950125
S_diesel_lag,18.993869864932083,0.98,0.9847748892549034
S_diesel_lag,19.63958493637362,0.98,0.9835799397147943
S_diesel_lag,20.285300007815152,0.98,0.9823849901746852
S_diesel_lag,20.93101507925669,0.98,0.981190040634576
S_diesel_lag,21.576730150698225,0.98,0.9799950910944669
S_diesel_lag,22.22244522213976,0.98,0.9788001415543578
S_diesel_lag,22.86816029358129,0.98,0.9776051920142488
