parameter,value
intercept,0.8998310362972929
beta_fd_log,-0.03282691258989641
beta_fg_hinge,0.012017132018188489
beta_s_d,0.017728730232282934
beta_prev_u_d,0.01349605284840328
beta_cpi_low,-0.051014161491194567
beta_cpi_high,0.04736326130588623
fd_threshold,40.0
fg_threshold,0.0
cpi_low,0.02
cpi_high,0.03
fd_log_center,4.8059973693900275
fg_hinge_center,1.678326286565802
S_d_center,18.398814096729858
prev_u_d_center,0.0
cpi_low_gap_center,0.20000000000000018
cpi_high_gap_center,0.0
metric_n,319.0
metric_mae,0.003949199340123928
metric_rmse,0.011739895052743036
metric_r2,0.8855459379928149
