scope,parameter,value
upward,intercept,0.885479082569
upward,beta_fg_log,-0.0311661869812
upward,beta_fd_hinge,0.0462474878581
upward,beta_s_g,0.0207029754575
upward,beta_prev_u_g,0.0101731106195
upward,beta_cpi_low,0.00742246172882
upward,beta_cpi_high,-0.0656565124115
upward,fg_threshold,100.0
upward,fd_threshold,90.0
upward,cpi_low,0.02
upward,cpi_high,0.03
upward,fg_log_center,4.23167788625
upward,fd_hinge_center,0.712413500226
upward,S_g_center,15.2561563831
upward,prev_u_g_center,0.0
upward,cpi_low_gap_center,0.2
upward,cpi_high_gap_center,0.0
downward,intercept,1.14032691457
downward,beta_abs_fg_log,0.198835349505
downward,beta_s_g,-0.00688310912137
downward,beta_prev_u_g,-0.093174070378
downward,fg_abs_threshold,0.0
downward,abs_fg_log_center,5.28640753694
downward,S_g_center,15.2561563831
downward,prev_u_g_center,0.0
initial,metric_n,176.0
initial,metric_mae,0.02793273979548374
initial,metric_rmse,0.058405049119389825
initial,metric_r2,0.6780365285756438
refit,metric_n,176.0
refit,metric_mae,0.02793273979548374
refit,metric_rmse,0.058405049119389825
refit,metric_r2,0.6780365285756438
