variable,x_value,alpha_target,f_gasoline,S_gasoline_lag,prev_u_gasoline,alpha_fitted,residual
f_gasoline,-407.3684574596617,0.99,-407.3684574596617,15.25615638306887,0.0,1.0,0.010000000000000009
f_gasoline,-397.86516534606864,0.99,-397.86516534606864,15.25615638306887,0.0,1.0,0.010000000000000009
f_gasoline,-388.3618732324756,0.99,-388.3618732324756,15.25615638306887,0.0,1.0,0.010000000000000009
f_gasoline,-378.85858111888246,0.99,-378.85858111888246,15.25615638306887,0.0,1.0,0.010000000000000009
f_gasoline,-369.35528900528936,0.99,-369.35528900528936,15.25615638306887,0.0,1.0,0.010000000000000009
f_gasoline,-359.8519968916962,0.99,-359.8519968916962,15.25615638306887,0.0,1.0,0.010000000000000009
f_gasoline,-350.3487047781031,0.99,-350.3487047781031,15.25615638306887,0.0,1.0,0.010000000000000009
f_gasoline,-340.84541266451004,0.99,-340.84541266451004,15.25615638306887,0.0,1.0,0.010000000000000009
f_gasoline,-331.34212055091695,0.99,-331.34212055091695,15.25615638306887,0.0,1.0,0.010000000000000009
f_gasoline,-321.83882843732385,0.99,-321.83882843732385,15.25615638306887,0.0,1.0,0.010000000000000009
f_gasoline,-312.3355363237308,0.99,-312.3355363237308,15.25615638306887,0.0,1.0,0.010000000000000009
f_gasoline,-302.8322442101377,0.99,-302.8322442101377,15.25615638306887,0.0,1.0,0.010000000000000009
f_gasoline,-293.3289520965445,0.99,-293.3289520965445,15.25615638306887,0.0,1.0,0.010000000000000009
f_gasoline,-283.8256599829515,0.99,-283.8256599829515,15.25615638306887,0.0,1.0,0.010000000000000009
f_gasoline,-274.32236786935835,0.99,-274.32236786935835,15.25615638306887,0.0,1.0,0.010000000000000009
f_gasoline,-264.81907575576525,0.99,-264.81907575576525,15.25615638306887,0.0,1.0,0.010000000000000009
f_gasoline,-255.31578364217216,0.99,-255.31578364217216,15.25615638306887,0.0,0.9987135802909296,0.008713580290929612
f_gasoline,-245.81249152857907,0.98,-245.81249152857907,15.25615638306887,0.0,0.9961689672076469,0.016168967207646934
f_gasoline,-236.309199414986,0.98,-236.309199414986,15.25615638306887,0.0,0.993524427602892,0.013524427602891964
f_gasoline,-226.8059073013929,0.98,-226.8059073013929,15.25615638306887,0.0,0.9907717913498735,0.010771791349873494
f_gasoline,-217.30261518779977,0.98,-217.30261518779977,15.25615638306887,0.0,0.9879018434545102,0.007901843454510171
f_gasoline,-207.79932307420668,0.98,-207.79932307420668,15.25615638306887,0.0,0.984904137922229,0.0049041379222289905
f_gasoline,-198.2960309606136,0.98,-198.2960309606136,15.25615638306887,0.0,0.981766768237697,0.0017667682376970584
f_gasoline,-188.79273884702047,0.98,-188.79273884702047,15.25615638306887,0.0,0.9784760817254523,-0.0015239182745476754
f_gasoline,-179.28944673342738,0.98,-179.28944673342738,15.25615638306887,0.0,0.975016320475285,-0.004983679524715012
f_gasoline,-169.7861546198343,0.98,-169.7861546198343,15.25615638306887,0.0,0.9713691649430736,-0.008630835056926411
f_gasoline,-160.2828625062412,0.97,-160.2828625062412,15.25615638306887,0.0,0.9675131467487088,-0.0024868532512911656
f_gasoline,-150.7795703926481,0.97,-150.7795703926481,15.25615638306887,0.0,0.9634228829357959,-0.006577117064204052
f_gasoline,-141.27627827905496,0.97,-141.27627827905496,15.25615638306887,0.0,0.9590680623100917,-0.0109319376899083
f_gasoline,-131.77298616546187,0.97,-131.77298616546187,15.25615638306887,0.0,0.9544120808243653,-0.015587919175634624
f_gasoline,-122.26969405186878,0.97,-122.26969405186878,15.25615638306887,0.0,0.9494101692801373,-0.020589830719862645
f_gasoline,-112.76640193827568,0.96,-112.76640193827568,15.25615638306887,0.0,0.9440067683451058,-0.01599323165489419
f_gasoline,-103.2631098246826,0.96,-103.2631098246826,15.25615638306887,0.0,0.938131755785469,-0.02186824421453093
f_gasoline,-93.75981771108953,0.95,-93.75981771108953,15.25615638306887,0.0,0.9316948654504749,-0.018305134549525093
f_gasoline,-84.25652559749642,0.95,-84.25652559749642,15.25615638306887,0.0,0.9245771466742655,-0.025422853325734462
f_gasoline,-74.75323348390333,0.94,-74.75323348390333,15.25615638306887,0.0,0.9166173548774864,-0.023382645122513535
f_gasoline,-65.24994137031024,0.93,-65.24994137031024,15.25615638306887,0.0,0.9075891711114263,-0.02241082888857371
f_gasoline,-55.74664925671709,0.92,-55.74664925671709,15.25615638306887,0.0,0.8971606621974154,-0.022839337802584625
f_gasoline,-46.243357143124,0.9,-46.243357143124,15.25615638306887,0.0,0.8848162441076738,-0.015183755892326234
f_gasoline,-36.74006502953091,0.87,-36.74006502953091,15.25615638306887,0.0,0.869689872622314,-0.00031012737768598697
f_gasoline,-27.23677291593782,0.83,-27.23677291593782,15.25615638306887,0.0,0.8501515092198252,0.020151509219825225
f_gasoline,-17.73348080234473,0.73,-17.73348080234473,15.25615638306887,0.0,0.8225164876892528,0.0925164876892528
f_gasoline,-8.230188688751639,0.42,-8.230188688751639,15.25615638306887,0.0,0.774843160452579,0.35484316045257897
S_gasoline_lag,-19.77198122459403,1.0,-196.63216233755864,-19.77198122459403,0.0,1.0,0.0
S_gasoline_lag,-19.023686620251684,1.0,-196.63216233755864,-19.023686620251684,0.0,1.0,0.0
S_gasoline_lag,-18.275392015909343,1.0,-196.63216233755864,-18.275392015909343,0.0,1.0,0.0
S_gasoline_lag,-17.527097411567,1.0,-196.63216233755864,-17.527097411567,0.0,1.0,0.0
S_gasoline_lag,-16.778802807224654,1.0,-196.63216233755864,-16.778802807224654,0.0,1.0,0.0
S_gasoline_lag,-16.03050820288231,1.0,-196.63216233755864,-16.03050820288231,0.0,1.0,0.0
S_gasoline_lag,-15.282213598539968,1.0,-196.63216233755864,-15.282213598539968,0.0,1.0,0.0
S_gasoline_lag,-14.533918994197624,1.0,-196.63216233755864,-14.533918994197624,0.0,1.0,0.0
