variable,x_value,alpha_target,alpha_fitted
f_gasoline,-407.3684574596617,0.99,1.0
f_gasoline,-397.86516534606864,0.99,1.0
f_gasoline,-388.3618732324756,0.99,1.0
f_gasoline,-378.85858111888246,0.99,1.0
f_gasoline,-369.35528900528936,0.99,1.0
f_gasoline,-359.8519968916962,0.99,1.0
f_gasoline,-350.3487047781031,0.99,1.0
f_gasoline,-340.84541266451004,0.99,1.0
f_gasoline,-331.34212055091695,0.99,1.0
f_gasoline,-321.83882843732385,0.99,1.0
f_gasoline,-312.3355363237308,0.99,1.0
f_gasoline,-302.8322442101377,0.99,1.0
f_gasoline,-293.3289520965445,0.99,1.0
f_gasoline,-283.8256599829515,0.99,1.0
f_gasoline,-274.32236786935835,0.99,1.0
f_gasoline,-264.81907575576525,0.99,1.0
f_gasoline,-255.31578364217216,0.99,0.9987135802909296
f_gasoline,-245.81249152857907,0.98,0.9961689672076469
f_gasoline,-236.309199414986,0.98,0.993524427602892
f_gasoline,-226.8059073013929,0.98,0.9907717913498735
f_gasoline,-217.30261518779977,0.98,0.9879018434545102
f_gasoline,-207.79932307420668,0.98,0.984904137922229
f_gasoline,-198.2960309606136,0.98,0.981766768237697
f_gasoline,-188.79273884702047,0.98,0.9784760817254523
f_gasoline,-179.28944673342738,0.98,0.975016320475285
f_gasoline,-169.7861546198343,0.98,0.9713691649430736
f_gasoline,-160.2828625062412,0.97,0.9675131467487088
f_gasoline,-150.7795703926481,0.97,0.9634228829357959
f_gasoline,-141.27627827905496,0.97,0.9590680623100917
f_gasoline,-131.77298616546187,0.97,0.9544120808243653
f_gasoline,-122.26969405186878,0.97,0.9494101692801373
f_gasoline,-112.76640193827568,0.96,0.9440067683451058
f_gasoline,-103.2631098246826,0.96,0.938131755785469
f_gasoline,-93.75981771108953,0.95,0.9316948654504749
f_gasoline,-84.25652559749642,0.95,0.9245771466742655
f_gasoline,-74.75323348390333,0.94,0.9166173548774864
f_gasoline,-65.24994137031024,0.93,0.9075891711114263
f_gasoline,-55.74664925671709,0.92,0.8971606621974154
f_gasoline,-46.243357143124,0.9,0.8848162441076738
f_gasoline,-36.74006502953091,0.87,0.869689872622314
