parameter,value
intercept,0.9312589119765239
beta_fg_log,-0.03074975315559501
beta_fd_hinge,0.02431460177318024
beta_s_g,0.015487118972962075
beta_prev_u_g,0.013219419591916843
beta_cpi_low,0.09443993935502767
beta_cpi_high,-0.07897434334317657
fg_threshold,100.0
fd_threshold,90.0
cpi_low,0.02
cpi_high,0.03
fg_log_center,4.231677886245905
fd_hinge_center,0.7124135002256977
S_g_center,15.25615638306887
prev_u_g_center,0.0
cpi_low_gap_center,0.20000000000000018
cpi_high_gap_center,0.0
metric_n,319.0
metric_mae,0.0032839245968368743
metric_rmse,0.00925890120925358
metric_r2,0.9342468735229207
