scenario,variable,fuel,alpha_min,alpha_max,alpha_range,alpha_first,alpha_last,direction,n_unique_alpha
downward_base,f_diesel,diesel,0.21,1.0,0.79,1.0,0.86,decreasing,19
downward_base,S_diesel_lag,diesel,0.92,1.0,0.07999999999999996,1.0,0.92,decreasing,9
downward_base,prev_u_diesel,diesel,0.94,1.0,0.06000000000000005,1.0,0.94,decreasing,7
downward_base,S_gasoline_lag,diesel,0.98,0.98,0.0,0.98,0.98,flat,1
downward_base,brent_pressure_h,diesel,0.98,0.98,0.0,0.98,0.98,flat,1
downward_base,cpi_yoy,diesel,0.98,0.98,0.0,0.98,0.98,flat,1
downward_base,energy_A_lag,diesel,0.98,0.98,0.0,0.98,0.98,flat,1
downward_base,f_gasoline,diesel,0.98,0.98,0.0,0.98,0.98,flat,1
downward_base,oil_import_dependency,diesel,0.98,0.98,0.0,0.98,0.98,flat,1
downward_base,omega_gasoline,diesel,0.98,0.98,0.0,0.98,0.98,flat,1
downward_base,prev_u_gasoline,diesel,0.98,0.98,0.0,0.98,0.98,flat,1
downward_base,processing_shortage_b,diesel,0.98,0.98,0.0,0.98,0.98,flat,1
downward_base,f_gasoline,gasoline,0.42,1.0,0.5800000000000001,0.99,0.9,decreasing,15
downward_base,prev_u_gasoline,gasoline,0.93,1.0,0.06999999999999995,1.0,0.93,decreasing,8
downward_base,S_gasoline_lag,gasoline,0.94,1.0,0.06000000000000005,1.0,0.94,decreasing,7
downward_base,S_diesel_lag,gasoline,0.98,0.98,0.0,0.98,0.98,flat,1
downward_base,brent_pressure_h,gasoline,0.98,0.98,0.0,0.98,0.98,flat,1
downward_base,cpi_yoy,gasoline,0.98,0.98,0.0,0.98,0.98,flat,1
downward_base,energy_A_lag,gasoline,0.98,0.98,0.0,0.98,0.98,flat,1
downward_base,f_diesel,gasoline,0.98,0.98,0.0,0.98,0.98,flat,1
downward_base,oil_import_dependency,gasoline,0.98,0.98,0.0,0.98,0.98,flat,1
downward_base,omega_gasoline,gasoline,0.98,0.98,0.0,0.98,0.98,flat,1
downward_base,prev_u_diesel,gasoline,0.98,0.98,0.0,0.98,0.98,flat,1
downward_base,processing_shortage_b,gasoline,0.98,0.98,0.0,0.98,0.98,flat,1
upward_base,f_diesel,diesel,0.21,1.0,0.79,1.0,0.88,decreasing,17
upward_base,cpi_yoy,diesel,0.79,0.95,0.15999999999999992,0.91,0.95,increasing,17
upward_base,S_diesel_lag,diesel,0.87,0.96,0.08999999999999997,0.87,0.96,increasing,10
upward_base,prev_u_diesel,diesel,0.85,0.94,0.08999999999999997,0.85,0.94,increasing,10
upward_base,f_gasoline,diesel,0.87,0.91,0.040000000000000036,0.87,0.91,increasing,5
upward_base,S_gasoline_lag,diesel,0.9,0.9,0.0,0.9,0.9,flat,1
upward_base,brent_pressure_h,diesel,0.9,0.9,0.0,0.9,0.9,flat,1
upward_base,energy_A_lag,diesel,0.9,0.9,0.0,0.9,0.9,flat,1
upward_base,oil_import_dependency,diesel,0.9,0.9,0.0,0.9,0.9,flat,1
upward_base,omega_gasoline,diesel,0.9,0.9,0.0,0.9,0.9,flat,1
upward_base,prev_u_gasoline,diesel,0.9,0.9,0.0,0.9,0.9,flat,1
upward_base,processing_shortage_b,diesel,0.9,0.9,0.0,0.9,0.9,flat,1
upward_base,f_gasoline,gasoline,0.42,1.0,0.5800000000000001,0.99,0.9,decreasing,15
upward_base,cpi_yoy,gasoline,0.85,1.0,0.15000000000000002,0.91,0.85,decreasing,16
upward_base,prev_u_gasoline,gasoline,0.88,0.98,0.09999999999999998,0.88,0.98,increasing,11
upward_base,S_gasoline_lag,gasoline,0.88,0.97,0.08999999999999997,0.88,0.97,increasing,10
upward_base,f_diesel,gasoline,0.91,0.97,0.05999999999999994,0.91,0.97,increasing,7
upward_base,S_diesel_lag,gasoline,0.93,0.93,0.0,0.93,0.93,flat,1
upward_base,brent_pressure_h,gasoline,0.93,0.93,0.0,0.93,0.93,flat,1
upward_base,energy_A_lag,gasoline,0.93,0.93,0.0,0.93,0.93,flat,1
upward_base,oil_import_dependency,gasoline,0.93,0.93,0.0,0.93,0.93,flat,1
upward_base,omega_gasoline,gasoline,0.93,0.93,0.0,0.93,0.93,flat,1
upward_base,prev_u_diesel,gasoline,0.93,0.93,0.0,0.93,0.93,flat,1
upward_base,processing_shortage_b,gasoline,0.93,0.93,0.0,0.93,0.93,flat,1
