date,weighted_oil_mean,filtered_oil_price,delta_p_theory,carry_before,stacked_change,delta_p_rule,actual_change,theta_t,rule_error
2016-01-27,29.3219,40.0,7.5961,0.0,7.5961,0.0,0,,0.0
2016-02-15,28.3011,40.0,5.126,7.5961,12.7221,0.0,0,,0.0
2016-02-29,31.5932,40.0,-2.1273,12.7221,10.5949,0.0,0,,0.0
2016-03-14,37.5525,40.0,-23.3383,10.5949,-12.7434,0.0,0,,0.0
2016-03-28,38.8857,40.0,-20.7114,-12.7434,-33.4549,0.0,0,,0.0
2016-04-12,37.8851,40.0,-36.8648,-33.4549,-70.3197,-70.3197,0,-0.0,-70.3197
2018-05-01,68.8702,68.8702,-251.4177,8.3493,-243.0684,-243.0684,-75,0.30855512275557007,-168.0684
2019-04-01,61.188,61.188,-396.7231,0.0,-396.7231,-396.7231,-225,0.5671462034855042,-171.7231
2020-03-31,19.6117,40.0,275.0039,0.0,275.0039,275.0039,0,0.0,275.0039
2020-04-15,22.6336,40.0,269.3581,0.0,269.3581,269.3581,0,0.0,269.3581
2020-04-28,7.382,40.0,273.7493,0.0,273.7493,273.7493,0,0.0,273.7493
2020-05-14,24.8916,40.0,279.9832,0.0,279.9832,279.9832,0,0.0,279.9832
2020-05-28,33.2038,40.0,300.0573,0.0,300.0573,300.0573,0,0.0,300.0573
2020-06-11,38.0329,40.0,268.4171,0.0,268.4171,268.4171,0,0.0,268.4171
2026-03-24,99.6457,99.6457,579.8015,0.0,579.8015,579.8015,1160,2.0006847170971445,-580.1985
2026-04-08,109.6382,109.6382,-479.2305,0.0,-479.2305,-479.2305,420,-0.8764049867443746,-899.2305
2026-04-22,96.1637,96.1637,-1119.6178,0.0,-1119.6178,-1119.6178,-555,0.49570487357382137,-564.6178
2026-05-09,109.7113,109.7113,-373.3668,0.0,-373.3668,-373.3668,320,-0.8570660272954103,-693.3668
