date,weighted_oil_mean,filtered_oil_price,previous_actual,theory_price,theory_change,mechanism_change,actual_change,theta_t
2016-01-27,29.3219,40.0,6925,6932.5961,7.5961,0.0,0,
2016-02-15,28.3011,40.0,6925,6930.126,5.126,0.0,0,
2016-02-29,31.5932,40.0,6925,6922.8727,-2.1273,0.0,0,
2016-03-14,37.5525,40.0,6925,6901.6617,-23.3383,0.0,0,
2016-03-28,38.8857,40.0,6925,6904.2886,-20.7114,0.0,0,
2016-04-12,37.8851,40.0,6925,6888.1352,-36.8648,-70.3197,0,-0.0
2018-05-01,68.8702,68.8702,8880,8628.5823,-251.4177,-243.0684,-75,0.30855512275557007
2019-04-01,61.188,61.188,8775,8378.2769,-396.7231,-396.7231,-225,0.5671462034855042
2020-03-31,19.6117,40.0,6855,7130.0039,275.0039,275.0039,0,0.0
2020-04-15,22.6336,40.0,6855,7124.3581,269.3581,269.3581,0,0.0
2020-04-28,7.382,40.0,6855,7128.7493,273.7493,273.7493,0,0.0
2020-05-14,24.8916,40.0,6855,7134.9832,279.9832,279.9832,0,0.0
2020-05-28,33.2038,40.0,6855,7155.0573,300.0573,300.0573,0,0.0
2020-06-11,38.0329,40.0,6855,7123.4171,268.4171,268.4171,0,0.0
2026-03-24,99.6457,99.6457,9510,10089.8015,579.8015,579.8015,1160,2.0006847170971445
2026-04-08,109.6382,109.6382,10670,10190.7695,-479.2305,-479.2305,420,-0.8764049867443746
2026-04-22,96.1637,96.1637,11090,9970.3822,-1119.6178,-1119.6178,-555,0.49570487357382137
2026-05-09,109.7113,109.7113,10535,10161.6332,-373.3668,-373.3668,320,-0.8570660272954103
