fuel_type,target,y_column,oil_range,n,n_up,n_down,n_zero,z_up_sum,z_down_sum,y_sum,intercept,beta_up,beta_down,asymmetry_index,beta_diff,t_beta_equal,p_beta_equal,r2,rmse,status,judgement
gasoline,actual,actual_delta,<40,16,8,8,0,1769.454415882682,2703.947245760567,-1370.0,5.993907160416814,0.008716478576615616,0.5478383235462642,-0.968677016015788,-0.5391218449696485,-0.8461724490112441,0.4127617781285392,0.2906799573351846,215.97260382388765,ok,下跌传递略强，但统计证据有限
gasoline,actual,actual_delta,40-80,191,110,81,0,11299.19610965748,10070.659686022209,1680.0,5.6763989049561205,1.26576352608298,1.361013372295136,-0.03626111005885858,-0.09524984621215604,-1.121282866637853,0.26359766617105074,0.929590866681938,52.204255693888726,ok,双向传递基本对称
gasoline,actual,actual_delta,80-130,50,27,23,0,6042.250216392511,4346.495864886039,2040.0,14.113973124735036,1.0228205098660677,1.1148834035374737,-0.04306625117452693,-0.09206289367140608,-0.7054904796722573,0.48398715329749553,0.9452417941522285,64.55280334550673,ok,双向传递基本对称
gasoline,actual,actual_delta,>=130,0,0,0,0,,,,,,,,,,,,,insufficient_sample,样本不足，不作强结论
gasoline,model,pred_delta_no_special,<40,16,8,8,0,1769.454415882682,2703.947245760567,-1240.6693495367908,8.116322499995729,1.2847792611493478,1.3476183207069063,-0.023871416685182913,-0.06283905955755853,-1.4400975551740656,0.1734857916501231,0.9989925102321159,14.791369261046658,ok,双向传递基本对称
gasoline,model,pred_delta_no_special,40-80,191,110,81,0,11299.19610965748,10070.659686022209,1226.7676870496393,-3.3396722770132343,1.322285894589497,1.2984375355460305,0.009099914462257209,0.023848359043466605,0.7931729984332918,0.4286769167178707,0.9904708354458124,18.477677857862023,ok,双向传递基本对称
gasoline,model,pred_delta_no_special,80-130,50,27,23,0,6042.250216392511,4346.495864886039,2103.7626626000247,2.883654116165375,1.1195648514782515,1.1055137652694276,0.006314871799613931,0.014051086208823893,0.28447698523987575,0.7772945344179699,0.9924665840410303,24.433428129863664,ok,双向传递基本对称
gasoline,model,pred_delta_no_special,>=130,0,0,0,0,,,,,,,,,,,,,insufficient_sample,样本不足，不作强结论
diesel,actual,actual_delta,<40,16,8,8,0,1769.7073649695653,2703.9276693723177,-1315.0,5.8287158475308845,0.00690404822352747,0.5253386082178455,-0.9740567647482877,-0.5184345599943181,-0.8491767407686459,0.41114822227217557,0.29043847708599124,207.10071797865706,ok,下跌传递略强，但统计证据有限
diesel,actual,actual_delta,40-80,191,110,81,0,11298.44896535801,10070.623687926953,1655.0,6.126565017184941,1.2135395184983189,1.313353437219275,-0.03950065177676301,-0.09981391872095613,-1.2257834755271046,0.22181345194250948,0.9300980240557822,50.04020581254364,ok,双向传递基本对称
diesel,actual,actual_delta,80-130,50,27,23,0,6042.114237420054,4345.85875643653,1955.0,14.2356200369719,0.9808927000414644,1.077680387843717,-0.047016881922654796,-0.09678768780225244,-0.7651882548866903,0.4479848884923982,0.9445404818480123,62.55341006502257,ok,双向传递基本对称
diesel,actual,actual_delta,>=130,0,0,0,0,,,,,,,,,,,,,insufficient_sample,样本不足，不作强结论
diesel,model,pred_delta_no_special,<40,16,8,8,0,1769.7073649695653,2703.9276693723177,-1189.4473662414762,7.9698975650867006,1.2344502628002627,1.2949981941868844,-0.023937207030002506,-0.060547931386621734,-1.4374510884009541,0.1742220992391963,0.9989822733385095,14.28867584618155,ok,双向传递基本对称
diesel,model,pred_delta_no_special,40-80,191,110,81,0,11298.44896535801,10070.623687926953,1194.8828578922714,-2.7717583897039813,1.2677428266677668,1.25108824521794,0.0066120279504725,0.0166545814498269,0.5388686137919262,0.5906150372967169,0.9891200010323047,18.992956652638536,ok,双向传递基本对称
diesel,model,pred_delta_no_special,80-130,50,27,23,0,6042.114237420054,4345.85875643653,2029.4044202111588,2.7808726783425572,1.0794919109793688,1.065854395602204,0.006356789733819277,0.013637515377164844,0.28851740739182896,0.7742193604264904,0.9925798519923827,23.375580385042802,ok,双向传递基本对称
diesel,model,pred_delta_no_special,>=130,0,0,0,0,,,,,,,,,,,,,insufficient_sample,样本不足，不作强结论
