fuel_type,target,y_column,oil_range,method,n,n_up,n_down,n_zero,z_up_sum,z_down_sum,y_up_sum,y_down_sum,y_sum,beta_up,beta_down,asymmetry_index,beta_diff,ratio_up_mean,ratio_down_mean,ratio_up_median,ratio_down_median,status,judgement
gasoline,actual,actual_delta,<40,direct_ratio,16,8,8,0,1769.454415882682,2703.947245760567,120.0,1490.0,-1370.0,0.06781751421391588,0.5510462537078428,-0.7808321710554886,-0.48322873949392686,0.11618524731818772,0.48977049453353283,0.0,0.0,ok,下跌传递更强
gasoline,actual,actual_delta,40-80,direct_ratio,191,110,81,0,11299.196109657481,10070.659686022207,14765.0,13085.0,1680.0,1.3067301298877605,1.2993190523716747,0.002843798024433465,0.007411077516085829,1.5515126393659433,4.737197022300047,1.2392018954251882,1.2579790745057315,ok,双向传递基本对称
gasoline,actual,actual_delta,80-130,direct_ratio,50,27,23,0,6042.250216392511,4346.495864886039,6590.0,4550.0,2040.0,1.0906532771717157,1.0468202757899774,0.02050692104283727,0.04383300138173829,1.1066778600905005,0.8385434023568349,1.0636754290064745,1.091850544640614,ok,双向传递基本对称
gasoline,actual,actual_delta,>=130,direct_ratio,0,0,0,0,,,,,,,,,,,,,,insufficient_sample,样本不足，不作强结论
gasoline,model,pred_delta_no_special,<40,direct_ratio,16,8,8,0,1769.454415882682,2703.947245760567,2313.204923918654,3553.874273455445,-1240.6693495367908,1.3072983983962791,1.3143282580780566,-0.002681487718480678,-0.007029859681777495,1.2996426860962225,1.289810225389873,1.3035759738810788,1.3246869763571594,ok,双向传递基本对称
gasoline,model,pred_delta_no_special,40-80,direct_ratio,191,110,81,0,11299.196109657481,10070.659686022207,14138.221224227831,12911.453537178191,1226.7676870496393,1.251259035334719,1.2820861730735402,-0.012168549961728411,-0.030827137738821175,0.9801492412933744,1.011253971448177,1.292834171394071,1.3283864363284206,ok,双向传递基本对称
gasoline,model,pred_delta_no_special,80-130,direct_ratio,50,27,23,0,6042.250216392511,4346.495864886039,6712.623700485509,4608.861037885485,2103.7626626000247,1.1109476536198861,1.0603624577487833,0.023297084836590553,0.05058519587110277,0.9800001032626521,0.9173895276700432,1.1319528420202392,1.077994370460134,ok,双向传递基本对称
gasoline,model,pred_delta_no_special,>=130,direct_ratio,0,0,0,0,,,,,,,,,,,,,,insufficient_sample,样本不足，不作强结论
diesel,actual,actual_delta,<40,direct_ratio,16,8,8,0,1769.7073649695656,2703.9276693723177,110.0,1425.0,-1315.0,0.06215716913281407,0.5270111387006131,-0.7890002964980001,-0.46485396956779906,0.10659920645520173,0.4660004365610429,0.0,0.0,ok,下跌传递更强
diesel,actual,actual_delta,40-80,direct_ratio,191,110,81,0,11298.44896535801,10070.62368792695,14225.0,12570.0,1655.0,1.2590223705585644,1.248184858209864,0.00432254351548909,0.01083751234870034,1.5347807548401702,4.323221746483029,1.180688820062872,1.2325228917831186,ok,双向传递基本对称
diesel,actual,actual_delta,80-130,direct_ratio,50,27,23,0,6042.114237420054,4345.85875643653,6340.0,4385.0,1955.0,1.0493015773742043,1.0090065613626995,0.01957676562277604,0.04029501601150476,1.0663868020188236,0.8036850376296298,1.0221077451310567,1.0372124389326849,ok,双向传递基本对称
diesel,actual,actual_delta,>=130,direct_ratio,0,0,0,0,,,,,,,,,,,,,,insufficient_sample,样本不足，不作强结论
diesel,model,pred_delta_no_special,<40,direct_ratio,16,8,8,0,1769.7073649695656,2703.9276693723177,2224.0888559148225,3413.536222156299,-1189.4473662414762,1.2567551562136778,1.2624362185504423,-0.002255113443811469,-0.005681062336764464,1.2497478500819499,1.2383650936452029,1.2533465722553014,1.2726414546453588,ok,双向传递基本对称
diesel,model,pred_delta_no_special,40-80,direct_ratio,191,110,81,0,11298.44896535801,10070.62368792695,13596.91365678713,12402.030798894859,1194.8828578922714,1.2034318779928472,1.2315057322381024,-0.011529599003808748,-0.028073854245255214,1.0048542570524417,0.9606389715700047,1.2439255801011366,1.2760239967226013,ok,双向传递基本对称
diesel,model,pred_delta_no_special,80-130,direct_ratio,50,27,23,0,6042.114237420054,4345.85875643653,6472.259613589845,4442.855193378687,2029.4044202111588,1.071191202163278,1.022319279658709,0.023344484266463045,0.04887192250456884,0.9450255375234705,0.8842794503911933,1.0914402663756733,1.0397992058507701,ok,双向传递基本对称
diesel,model,pred_delta_no_special,>=130,direct_ratio,0,0,0,0,,,,,,,,,,,,,,insufficient_sample,样本不足，不作强结论
